icao,iata,name,lat,lon,municipality,country
AAXX,,Aeródromo de Punto Rothera,-67.56694,-68.12699,Rothera Point,AQ
AGAF,AFT,Afutara Aerodrome,-9.19139,160.94861,Bila,SB
AGAR,RNA,Ulawa Airport,-9.86054,161.97955,Arona,SB
AGAT,ATD,Uru Harbour Airport,-8.87333,161.011,Atoifi,SB
AGBA,VEV,Barakoma Airport,-7.91278,156.70599,Barakoma,SB
AGBT,BPF,Batuna Aerodrome,-8.56203,158.11931,Batuna Mission Station,SB
AGEV,GEF,Geva Airport,-7.57583,156.597,Liangia,SB
AGGA,AKS,Gwaunaru'u Airport,-8.70257,160.68201,Auki,SB
AGGB,BNY,Bellona/Anua Airport,-11.30222,159.79833,Anua,SB
AGGC,CHY,Choiseul Bay Airport,-6.71194,156.39611,Choiseul Bay,SB
AGGE,BAS,Ballalae Airport,-6.99075,155.88666,Ballalae,SB
AGGF,FRE,Fera/Maringe Airport,-8.1075,159.577,Fera Island,SB
AGGH,HIR,Honiara International Airport,-9.428,160.05499,Honiara,SB
AGGI,MBU,Babanakira Airport,-9.7475,159.839,Mbambanakira,SB
AGGJ,AVU,Avu Avu Airport,-9.86833,160.41056,Avu Avu,SB
AGGK,IRA,Ngorangora Airport,-10.4497,161.89799,Kirakira,SB
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.795,Santa Cruz/Graciosa Bay/Luova,SB
AGGM,MUA,Munda Airport,-8.32797,157.263,Munda,SB
AGGN,GZO,Nusatupe Airport,-8.09778,156.864,Gizo,SB
AGGO,MNY,Mono Airport,-7.41694,155.565,Stirling Island,SB
AGGP,PRS,Parasi Airport,-9.64167,161.425,Parasi,SB
AGGR,RNL,Rennell/Tingoa Airport,-11.55,160.06278,Rennell Island,SB
AGGS,EGM,Sege Airport,-8.57889,157.87601,Sege,SB
AGGT,NNB,Santa Ana Airport,-10.84799,162.45411,Santa Ana Island,SB
AGGU,RUS,Marau Airport,-9.86167,160.825,Marau,SB
AGGV,VAO,Suavanao Airport,-7.58556,158.731,Suavanao,SB
AGGY,XYA,Yandina Airport,-9.09282,159.21841,Yandina,SB
AGKG,KGE,Kaghau Airport,-7.3305,157.585,Kagau Island,SB
AGKU,KUE,Kukudu Airport,-8.0262,156.94783,Kolombangara Island,SB
AGKW,KWS,Kwailabesi Airport,-8.36051,160.77513,Kwailabesi,SB
AGLM,LLM,Lomlom Airport,-10.29683,166.32732,Lomlom,SB
AGNA,NAZ,Nana Airport,-10.6758,162.2049,Star Harbor,SB
AGOB,MHM,Manaoba Airport,-8.32501,160.80051,Manaoba,SB
AGOK,GTA,Gatokae Aerodrome,-8.73836,158.20284,Gatokae,SB
AGRC,RIN,Ringi Cove Airport,-8.12639,157.14301,Ringi Cove,SB
AGRM,RBV,Ramata Airport,-8.16806,157.64301,Ramata,SB
AGVH,VIU,Viru Harbour Airstrip,-8.50846,157.68999,Viru,SB
ANYN,INU,Nauru International Airport,-0.54789,166.91952,Yaren,NR
AQBC,,Boulder Clay Runway,-74.73937,164.03539,Zucchelli Station,AQ
ATUA,,(Duplicate) Utai Airstrip,-3.386,141.5868,Utai,PG
AYAA,AMF,Ama Airport,-4.10111,141.67,,PG
AYAB,,Ambaluwa Airstrip,-5.72028,144.92111,Ambulua,PG
AYAC,,Akwom Airstrip,-3.94,141.83278,Akwom,PG
AYAD,,Ande Airstrip,-7.02083,145.82222,Sindeni,PG
AYAE,UAE,Mount Aue Airport,-6.22998,144.66418,Aue,PG
AYAF,AFR,Afore Airstrip,-9.13867,148.3907,Afore,PG
AYAG,AUP,Agaun Airport,-9.92771,149.38995,Agaun,PG
AYAH,,Ali Airstrip,-7.92584,142.34346,Ali,PG
AYAI,ATP,Aitape Airport,-3.14361,142.34681,Aitape,PG
AYAJ,,Ambua Airstrip,-5.96149,143.0604,Ambua Lodge - Tari,PG
AYAK,AIH,Aiambak Airport,-7.34278,141.2675,Aiambak,PG
AYAM,AMU,Amanab Airport,-3.586,141.21433,Amanab,PG
AYAN,ADC,Andakombe Airport,-7.13722,145.74472,Andekombe,PG
AYAO,AIE,Aiome Airport,-5.1457,144.7307,Aiome,PG
AYAQ,KPM,Kompiam Airport,-5.38167,143.92472,,PG
AYAT,AUJ,Ambunti Airport,-4.21567,142.82317,Ambunti,PG
AYAU,,Arou Airstrip,-5.4951,142.5137,Arou,PG
AYAV,,Arkosame Airstrip,-3.77718,142.62267,,PG
AYAW,AWB,Awaba Airport,-8.01341,142.7521,Awaba,PG
AYAX,AEK,Aseki Airport,-7.35081,146.19399,Aseki,PG
AYAY,AYU,Aiyura Airport,-6.33806,145.90417,Aiyura Valley,PG
AYAZ,,Asimba Airstrip,-8.60531,147.59274,Asimba,PG
AYBA,VMU,Baimuru Airport,-7.49695,144.82176,Baimuru,PG
AYBB,,Bak Airstrip,-5.2685,142.097,Bak,PG
AYBC,BCP,Bambu Airport,-5.86361,146.4925,Bambu,PG
AYBD,BNM,Bodinumu Airport,-9.10778,147.66672,Bodinumu,PG
AYBE,,Boure Airstrip,-9.6185,148.74632,Boure,PG
AYBF,BMZ,Bamu Airport,-7.8485,143.2433,Bamu,PG
AYBG,BDZ,Baindoung Airport,-6.34722,146.94222,,PG
AYBH,BSP,Bensbach Airport,-8.85806,141.25944,Bensbach,PG
AYBI,BWP,Bewani Airport,-3.02167,141.16528,Bewani,PG
AYBJ,,Bank Airstrip,-5.36472,144.69047,Bank,PG
AYBK,BUA,Buka Airport,-5.4223,154.6727,Buka Island,PG
AYBL,BAA,Bialla Airport,-5.33056,151.008,"Bialla, Matalilu, Ewase",PG
AYBM,OPU,Balimo Airport,-8.05,142.933,Balimo,PG
AYBN,,Baina Airstrip,-6.89124,143.68308,Baina,PG
AYBO,BMH,Bomai Airport,-6.37317,144.637,Bomai,PG
AYBP,BPD,Bapi Airstrip,-7.74361,147.02056,Bapi,PG
AYBQ,BPK,Biangabip Airport,-5.52639,141.74458,Biangabip,PG
AYBR,BRP,Biaru Airport,-7.6693,146.7594,Biaru,PG
AYBS,,Begesin Airstrip,-5.38825,145.44739,Begesin,PG
AYBT,,Batri Airstrip,-6.55186,143.94391,Batri,PG
AYBU,BUL,Bulolo Airport,-7.21629,146.64954,Bulolo,PG
AYBW,,Blackwara Airport,-2.61821,141.09197,,PG
AYBX,,Wowobo Airstrip,-7.3405,144.5477,Wowobo,PG
AYBY,,Wuyabo Airstrip,-6.83847,145.87321,Wuyabo,PG
AYBZ,XBN,Biniguni Airport,-9.6425,149.30389,Biniguni,PG
AYCB,CVB,Chungribu Airport,-4.80662,144.715,Chungribu,PG
AYCG,CGC,Cape Gloucester Airport,-5.45523,148.42229,Cape Gloucester,PG
AYCH,CMU,Chimbu Airport,-6.02429,144.97099,Kundiawa,PG
AYCN,,Changriwa Airstrip,-4.32865,143.74058,Changriwa,PG
AYCS,SQT,China Strait Airstrip,-10.56278,150.69069,Samarai Island,PG
AYDA,,Dahamo Airstrip,-5.75319,141.99361,Dahamo Village,PG
AYDB,DBP,Debepare Airport,-6.30861,141.90556,Debepare,PG
AYDD,,Dobu Airstrip,-6.6305,144.6383,Dobu,PG
AYDE,DER,Derim Airport,-6.14472,147.10722,Derim,PG
AYDI,BNT,Bundi Airport,-5.74222,145.2275,Bundi,PG
AYDK,MDM,Munduku Airport,-4.6204,143.4516,Munduku,PG
AYDL,KPF,Kondobol Airport,-8.5336,142.5049,Kondobol,PG
AYDM,,Duranmin Airstrip,-4.97308,141.90888,Duranmin,PG
AYDN,DNU,Dinangat Airport,-6.1546,146.6772,Dinangat,PG
AYDO,DOI,Doini Airport,-10.7009,150.7218,Castori Islets,PG
AYDP,,Tsendiap Airstrip,-5.3599,144.4462,Tsendiap,PG
AYDQ,,Dimisisi Airstrip,-8.6298,142.2162,Dimisisi,PG
AYDR,DOO,Dorobisoro Airport,-9.46185,147.92091,Dorobisoro,PG
AYDS,,Dusin Airport,-5.18386,144.41217,Dusin,PG
AYDU,DAU,Daru Airport,-9.08676,143.20799,Daru,PG
AYDW,,Dewara Airstrip,-8.3802,142.4475,Dewara,PG
AYDY,,Sindeni Airstrip,-7.0077,145.7965,Sindeni,PG
AYEA,KRU,Kerau Airport,-8.27161,147.0719,Gunim,PG
AYEB,EMS,Embessa Airport,-9.447,148.7628,Embessa,PG
AYED,XYR,Edwaki Airport,-3.88399,141.79223,Yellow River Mission,PG
AYEE,EMI,Emirau Airport,-1.65395,149.97577,Emirau Island,PG
AYEF,EFG,Efogi Airport,-9.15381,147.65981,Efogi,PG
AYEG,,Mengina Airstrip,-6.4836,144.986,Mengina,PG
AYEH,MHY,Morehead Airport,-8.71411,141.64444,Morehead,PG
AYEI,,Milei Airstrip,-9.0794,147.602,Milei,PG
AYEK,,Membok Airstrip,-6.4744,141.019,Membok,PG
AYEL,EPT,Eliptamin Airport,-5.0412,141.6779,Eliptamin,PG
AYEM,,Eleme Airstrip,-4.81403,143.91064,Eleme,PG
AYEN,EGA,Engati Airstrip,-6.9179,146.1053,Engati,PG
AYEO,EMO,Emo River Airstrip,-9.1234,148.0415,Emo Mission,PG
AYER,ERU,Erume Airport,-8.2538,146.9747,Erume,PG
AYES,MFZ,Meselia Airport,-6.1364,149.1183,Demgulu,PG
AYET,BOT,Bosset Airport,-7.23726,141.10632,Bosset,PG
AYEU,,Eloaua Airstrip,-1.56026,149.63036,Eloaua Island,PG
AYEV,ERE,Erave Airport,-6.60646,143.90021,Erave,PG
AYEW,SWE,Siwea Airport,-6.28418,147.58237,Siwea,PG
AYEY,,Mirsey Airstrip,-4.0621,142.6609,Mirsey,PG
AYEZ,,Moropote Airstrip,-4.58706,142.33569,Moropote,PG
AYFA,FNE,Fane Airport,-8.54928,147.08583,Fane Mission,PG
AYFE,FRQ,Feramin Airport,-5.208,141.6988,Feramin,PG
AYFF,,Faia Airport,-7.16035,143.53132,,PG
AYFI,FIN,Finschhafen Airport,-6.62175,147.85405,Buki,PG
AYFK,,Foroko Airstrip,-5.3283,144.8944,Foroko,PG
AYFO,,Fogomaiu Airstrip,-6.5096,143.0794,Fogomaiu,PG
AYFR,FAQ,Frieda River Airport,-4.61047,141.96014,Frieda River,PG
AYFS,,Fas Airstrip,-3.1983,141.472,Fugari,PG
AYFU,FUM,Fuma Airport,-6.3933,142.4408,Fuma,PG
AYFW,,Kwieftim Airstrip,-3.6005,141.7674,Kwieftim,PG
AYGA,GKA,Goroka Airport,-6.08169,145.392,Goronka,PG
AYGC,GEW,Gewoia Airport,-9.2263,148.4949,Gewoia,PG
AYGD,,Gimi Airstrip,-6.6482,145.4003,Amusa,PG
AYGE,,Geigorobi Airstrip,-4.1055,143.3056,Geigorobi,PG
AYGF,GUG,Guari Airport,-8.1286,146.8722,Guari,PG
AYGG,GRL,Garasa Airport,-7.98071,147.21346,Au,PG
AYGH,,Guhu Airstrip,-5.6957,146.1116,Guhu,PG
AYGI,GAR,Garaina Airport,-7.87563,147.14127,Garaina,PG
AYGJ,GAZ,Guasopa Airport,-9.22592,152.94435,Woodlark (Muyua) Island,PG
AYGL,GOE,Gonaili Airport,-5.52772,151.57333,Gonaili,PG
AYGM,,Gema Airstrip,-6.80309,145.77587,Gema,PG
AYGN,GUR,Gurney Airport,-10.3115,150.334,Gurney,PG
AYGO,,Gokto Airstrip,-4.9136,144.49,Gokto,PG
AYGP,GAP,Gusap Airport,-6.0532,145.95905,Gusap,PG
AYGQ,,Gawa Airstrip,-5.259,142.233,Gawa,PG
AYGR,PNP,Girua Airport,-8.80454,148.30901,Popondetta,PG
AYGS,GBC,Gasuke Airport,-6.1028,141.7393,Gasuke,PG
AYGT,GMI,Gasmata Island Airport,-6.27111,150.33099,Gasmata Island,PG
AYGU,AKG,Anguganak Airport,-3.5605,142.21731,Anguganak,PG
AYGV,GVI,Green River Airport,-3.90224,141.17052,Green River,PG
AYGW,,Guwasa Airport,-6.46584,145.08397,Guwasa,PG
AYGX,GOC,Gora Airstrip,-9.0021,148.2364,Gora,PG
AYGY,,Guavi Airstrip,-6.87,142.7537,Guavi,PG
AYHA,,Haia Airport,-6.70742,144.9974,,PG
AYHB,HBD,Habi Airport,-6.32,142.4893,Habi,PG
AYHE,HNI,Heiweni Airport,-7.4223,146.4276,Heiweni,PG
AYHF,HYF,Hayfields Airport,-3.69838,143.0579,Bainyik,PG
AYHH,HNN,Honinabi Airport,-6.2457,142.1771,Honinabi,PG
AYHJ,,Hewa Airstrip,-5.1914,142.9595,Hewa,PG
AYHK,HKN,Hoskins Airport,-5.46385,150.40733,Kimbe,PG
AYHL,,Hesalibi Airstrip,-6.6,142.3502,Hesalibi,PG
AYHN,,Habina Airstrip,-6.6671,146.0,Habina,PG
AYHO,HIT,Haivaro Airport,-6.9406,143.059,Haivaro,PG
AYHQ,,Hauna Airstrip,-4.2994,142.2305,Hauna,PG
AYHT,,Hotmin Airstrip,-4.5845,141.5742,Hotmin Mission,PG
AYHU,HWA,Hawabango Airport,-7.39299,146.00349,Hawabango,PG
AYHW,,Haewenai Airstrip,-5.7219,141.3205,Haewenai,PG
AYHX,,Herowena Airstrip,-6.6229,145.1972,Herowana,PG
AYHY,,Huya Airstrip,-6.2734,142.7061,Huya,PG
AYIA,IIS,Nissan Island Airport,-4.49972,154.226,Nissan Island,PG
AYIB,,Ibil Airstrip,-4.6828,141.0316,Ibil,PG
AYID,IDN,Indagen Airport,-6.22663,147.244,Indagen,PG
AYII,IMN,Imane Airport,-6.7524,146.1072,Imane,PG
AYIM,KGM,Kungim Airport,-5.671,141.03,Kungim,PG
AYIN,,Busilmin Airstrip,-4.9166,141.1548,Busilmin,PG
AYIO,IMD,Imonda Airport,-3.328,141.1573,Imonda,PG
AYIP,,Iropena Airstrip,-5.03264,143.87112,Iropena,PG
AYIQ,KIE,Aropa Airport,-6.30573,155.72825,Kieta,PG
AYIR,,Inaru Airstrip,-4.6316,142.8913,Inaru,PG
AYIS,,Isan Airstrip,-5.9781,146.61975,Isan,PG
AYIT,,Iteri Airstrip,-4.2418,141.5234,Iteri,PG
AYIU,IAL,Ialibu Airport,-6.2782,143.9944,Ialibu,PG
AYIW,WSA,Wasua Airport,-8.2836,142.8697,Wasua,PG
AYIX,WIU,Witu Airport,-4.68952,149.44011,Garove Island,PG
AYIY,MPX,Miyanmin Airport,-4.90306,141.62083,Miyanmin,PG
AYJE,,Yomneri Airstrip,-5.237,144.6007,Yomneri,PG
AYJO,KGH,Yongai Airport,-8.5289,147.4603,Yongai,PG
AYJS,JOP,Josephstaal Airport,-4.74708,145.00708,Josephstaal,PG
AYJW,,Wauru Airstrip,-4.18203,141.19829,,PG
AYKA,LSA,Losuia Airport,-8.50582,151.08099,Losuia,PG
AYKB,KBM,Kabwum,-6.15547,147.19147,,PG
AYKC,KDR,Kandrian Airport,-6.19217,149.54783,Kandrian,PG
AYKD,KMF,Kamina Airport,-7.64925,145.95694,Hoieti,PG
AYKG,KPA,Kopiago Airport,-5.3883,142.4977,Kopiago,PG
AYKH,KAQ,Kamulai Airport,-8.15069,146.834,Kamulai Mission,PG
AYKI,UNG,Kiunga Airport,-6.12571,141.282,Kiunga,PG
AYKJ,KNE,Kanainj Airport,-5.2903,144.7072,Kanainj,PG
AYKK,KRI,Kikori Airport,-7.42438,144.25008,Kikori,PG
AYKL,,Kafle Airstrip,-3.75,142.59,Kafle,PG
AYKM,KMA,Kerema Airport,-7.96361,145.771,Kerema,PG
AYKN,,Kubuna Airstrip,-8.6917,146.7566,Kubuna Mission,PG
AYKO,KKD,Kokoda Airport,-8.88468,147.73096,Kokoda,PG
AYKQ,KGW,Kagi Airport,-9.13592,147.66944,Kagi,PG
AYKR,KRX,Kar Kar Airport,-4.557,145.9404,Kar Kar Island,PG
AYKT,KZF,Kaintiba Airport,-7.50025,146.03383,Kaintiba,PG
AYKU,KUQ,Kuri Airport,-7.13508,143.27611,Kuri,PG
AYKV,KVG,Kavieng Airport,-2.5794,150.808,Kavieng,PG
AYKW,KWO,Kawito Airport,-7.97701,142.82358,Kawito,PG
AYKY,LNV,Londolovit Airport,-3.04361,152.629,Londolovit,PG
AYKZ,,Kairiru Airstrip,-3.36874,143.55423,Kairiru Island,PG
AYLB,LAB,Lab Lab Airport,-5.7204,148.0566,Lab Lab Mission,PG
AYLC,,Lake Campbell Airstrip,-6.7486,142.6037,Lake Campbell,PG
AYLE,,Lele Airstrip,-5.2192,151.3938,Leli,PG
AYLG,KEG,Keglsugl Airport,-5.83278,145.09722,Denglagu Mission,PG
AYLH,,Klauhau Airstrip,-4.1305,142.2495,Klauhau,PG
AYLI,KII,Kibuli Airstrip,-9.00653,142.69806,Kibuli,PG
AYLJ,,Lamogai Airstrip,-5.81904,149.30531,Maravo,PG
AYLL,LGN,Linga Linga Airport,-5.53194,149.73417,Linga Linga,PG
AYLM,LMY,Lake Murray Airport,-7.00992,141.494,Lake Murray,PG
AYLN,LNM,Langimar Airport,-7.22314,146.22708,,PG
AYLO,LWI,Lowai Airport,-6.3344,146.6458,Lowai,PG
AYLP,LPN,Leron Plains Airport,-6.3917,146.3434,Leron Plains,PG
AYLQ,,Lagoon Airstrip,-8.8186,143.1317,Lagoon,PG
AYLS,LNG,Lese Airport,-8.2799,146.2765,Lese,PG
AYLT,LNC,Lengbati Airport,-6.38461,147.36864,,PG
AYLU,LMI,Lumi Airport,-3.47684,142.04129,Lumi,PG
AYLX,LSJ,Long Island Airport,-5.3604,147.0177,Long Island,PG
AYLY,,Myola Airstrip,-9.15157,147.76232,Myola,PG
AYLZ,,Slai Airstrip,-4.0322,143.1831,Slai,PG
AYMA,MRM,Manari Airport,-9.1908,147.6219,Manari,PG
AYMB,OBM,Morobe Airport,-7.74,147.59,Morobe,PG
AYMC,MYX,Menyamya Airport,-7.21167,146.01936,Menyamya,PG
AYMD,MAG,Madang Airport,-5.20708,145.789,Madang,PG
AYMF,,Maimafu Airstrip,-6.50322,145.03266,Runakuma,PG
AYMG,,Magleri Airstrip,-4.05206,141.98628,Magleri,PG
AYMH,HGU,Mount Hagen Kagamuga Airport,-5.82821,144.29941,Mount Hagen,PG
AYMI,MXK,Mindik Airport,-6.47167,147.44114,Mindik,PG
AYMJ,MPG,Makini Airport,-6.53222,147.65117,Makini,PG
AYMK,,Mok Airport,-5.73024,149.05658,Mok,PG
AYML,GUV,Mougulu Airport,-6.28086,142.42077,Mougulu,PG
AYMN,MDU,Mendi Airport,-6.14774,143.657,Mendi,PG
AYMO,MAS,Momote Airport,-2.06189,147.424,Manus Island,PG
AYMP,MLQ,Malalaua Airport,-8.07139,146.15547,Malalaua,PG
AYMQ,MQO,Malam Airport,-8.70917,142.64972,Malam,PG
AYMR,MXH,Moro Airport,-6.36333,143.23801,Moro,PG
AYMS,MIS,Misima Island Airport,-10.6892,152.838,Misima Island,PG
AYMU,,Muluma Airstrip,-6.42648,142.76748,,PG
AYMV,MKN,Malekolon Airport,-4.02343,153.65728,Babase Island,PG
AYMW,MWG,Marawaka Airport,-6.9736,145.8849,Marawaka,PG
AYMX,,Mamusi Airstrip,-5.19695,144.19183,Mamusi,PG
AYMY,,Smok Airstrip,-3.3158,141.2461,Smok,PG
AYMZ,MPU,Mapua(Mabua) Airport,-2.81139,151.99111,Tatau Island,PG
AYNA,NKN,Nankina Airport,-5.837,146.4533,Gwarawon,PG
AYNB,KEX,Kanabea Airport,-7.53889,145.905,Kanabea,PG
AYNC,NDN,Nadunumu Airport,-9.14356,147.68425,Nadunumu,PG
AYND,AUI,Aua Island Airport,-1.46056,143.06472,Aua Island,PG
AYNE,GBF,Negarbo(Negabo) Airport,-6.56778,144.70306,Negarbo,PG
AYNF,,Nagri Airport,-4.09159,142.59294,Nagri,PG
AYNG,MFO,Manguna Airport,-5.57778,151.79233,Manguna,PG
AYNH,,Nahu Airstrip,-5.84273,146.1126,Gumbarami,PG
AYNI,NUG,Nuguria Airstrip,-3.4075,154.7383,Nuguria Island,PG
AYNJ,NDI,Namudi Airport,-9.47375,148.32942,Namudi,PG
AYNM,KSB,Kasonombe Airport,-6.3819,146.9859,Kasonombe,PG
AYNN,KDP,Kandep Airport,-5.84061,143.50722,Kandep,PG
AYNO,NMN,Nomane Airport,-6.32183,145.07067,Namane,PG
AYNP,,Momonup Airstrip,-4.50431,144.23147,Momonup,PG
AYNS,BXZ,Bunsil Airport,-5.7243,147.8667,Bunsil - Umboi Island,PG
AYNT,,Kantobo Airstrip,-6.7227,143.5636,Kantobo,PG
AYNU,UKU,Nuku Airport,-3.67677,142.48492,Nuku,PG
AYNX,ATN,Namatanai Airport,-3.6695,152.438,Namatanai,PG
AYNY,NBA,Nambaiyufa Airport,-6.2412,145.2424,Nambaiyufa,PG
AYNZ,LAE,Nadzab Tomodachi International Airport,-6.56799,146.72654,Lae,PG
AYOA,,Kwomtari Airstrip,-3.598,141.3614,Kwomtari,PG
AYOB,OBX,Obo Airport,-7.59062,141.32426,Obo,PG
AYOD,,Obura Airstrip,-6.5507,145.9728,Obura,PG
AYOE,KGB,Konge Airport,-6.2239,147.2152,Konge,PG
AYOF,OKV,Okao Airport,-5.55667,141.03278,Okao,PG
AYOG,OGE,Ogeranang Airport,-6.46675,147.36417,,PG
AYOH,,Okisai Airstrip,-4.7065,141.9006,Okisai,PG
AYOJ,OKP,Oksapmin Airport,-5.2261,142.2259,Oksapmin,PG
AYOK,HOC,Komako Airport,-7.3984,145.8827,Komako,PG
AYOL,KQL,Kol Airport,-5.73117,144.846,Kol,PG
AYOM,OSE,Omora Airport,-7.82778,147.08064,Omora,PG
AYOO,KOM,Komo-Manda Airport,-6.0682,142.8598,Komo,PG
AYOP,KSP,Kosipe Airport,-8.45072,147.20919,Kosipe Mission,PG
AYOQ,KCJ,Komaio Airport,-7.2714,143.5952,Komaio,PG
AYOS,,Kosimbi Airstrip,-3.9522,143.1767,Kosimbi Mission,PG
AYOU,,Kombaku Airstrip,-5.3817,144.6355,Kombaku,PG
AYOV,OLQ,Olsobip Airport,-5.38972,141.51528,Olsobip,PG
AYOW,KDE,Koroba Airport,-5.6952,142.7441,Koroba,PG
AYOX,,Moi Airstrip,-4.1615,141.2478,Moi,PG
AYOY,OPB,Open Bay Airport,-4.79473,151.69619,Maitanakunai,PG
AYOZ,,Kora Airstrip,-6.4304,145.0931,Kora,PG
AYPA,,Somokopa Airstrip,-7.0838,142.514,Somokopa,PG
AYPB,PLE,Paiela Airport,-5.37241,142.97577,Paiela,PG
AYPC,PGB,Pangoa Airport,-7.0226,141.5605,Pangoa,PG
AYPD,PDI,Pindiu Airport,-6.44514,147.51583,Pindiu,PG
AYPE,APR,April River Airport,-4.67667,142.54014,April River,PG
AYPG,PGN,Pangia Airport,-6.386,144.1084,Pangia,PG
AYPI,,Kapi Airstrip,-6.371,144.6839,Kapi,PG
AYPJ,PMP,Pimaga Airport,-6.49917,143.51028,Pimaga,PG
AYPO,MPF,Mapoda Airport,-7.979,143.1694,Mapoda,PG
AYPQ,PMN,Pumani Airport,-9.7469,149.4766,Pumani,PG
AYPS,,Maposi Airstrip,-4.54597,142.22107,Maposi,PG
AYPU,WLU,Walluanda Airport,-6.47516,143.98722,Puri,PG
AYPW,,Panakawa Airport,-7.67206,143.12472,,PG
AYPY,POM,Port Moresby Jacksons International Airport,-9.44338,147.22,Port Moresby,PG
AYQA,KRJ,Karawari Airstrip,-4.59667,143.5225,Amboin,PG
AYQB,,Simbari Airstrip,-6.9623,145.6448,Simbari,PG
AYQL,TLP,Tumolbil Airport,-4.7748,141.0133,Tumolbil,PG
AYQM,,Simogu Airstrip,-6.8008,145.7134,Simogu,PG
AYQO,SPH,Sopu Airport,-8.3038,147.1659,Sopu,PG
AYQQ,ONB,Ononge Airport,-8.67436,147.26242,Onange Mission,PG
AYQR,,Sorimi Airstrip,-4.32391,141.37563,Sorimi,PG
AYQS,SXA,Sialum Airport,-6.0908,147.5955,Sialum,PG
AYQU,,Tsumba Airstrip,-4.6581,144.6082,Tsumba Mission,PG
AYQV,,Sinow Airstrip,-3.9925,141.5537,Sinow,PG
AYQW,,Sumwari Airstrip,-4.7508,142.3686,Sumwari,PG
AYRA,KIQ,Kira Airport,-8.06511,147.33203,Kira,PG
AYRD,,Rano Airstrip,-5.95944,151.1717,Maingi,PG
AYRE,RBP,Raba Raba Airport,-9.97111,149.83222,Rabaraba,PG
AYRG,RMN,Rumginae Airport,-5.89722,141.27167,,PG
AYRI,KMR,Karimui Airport,-6.4921,144.823,Karimui,PG
AYRJ,,Mariama,-4.61239,143.24703,Mariama,PG
AYRK,RKU,Kairuku Airport,-8.817,146.52438,Yule Island,PG
AYRL,,Maralina Airstrip,-6.9015,146.3698,Maralina,PG
AYRM,MWI,Maramuni Airport,-5.13,143.4829,Maramuni,PG
AYRN,,Norambi Airstrip.,-6.9125,145.6731,Norambi,PG
AYRO,KOR,Kakoro(Koroko) Airstrip,-7.83467,146.5335,Kakoro,PG
AYRR,,Tiri Airstrip,-6.6815,144.1842,Tiri,PG
AYRT,,Kirinbit Airstrip,-4.2839,143.1512,Kirinbit,PG
AYRV,MRH,May River Airstrip,-4.3615,141.785,May River,PG
AYSA,SBE,Suabi Airport,-6.10444,142.27833,,PG
AYSB,,Sirebi Airstrip,-7.2196,144.2352,Sirebi,PG
AYSD,SDI,Saidor Airport,-5.62714,146.46278,Saidor,PG
AYSE,NIS,Simberi Airport,-2.66222,151.99778,Simberi Island,PG
AYSF,SFU,Safia Airport,-9.59447,148.63931,Safia,PG
AYSG,SIL,Sila Airport,-9.07356,148.38925,Sila Mission,PG
AYSH,SBV,Sabah Airport,-5.5765,155.0489,Sabah,PG
AYSI,,Seltamin Airstrip,-5.4122,141.8252,Seltamin,PG
AYSJ,SIM,Simbai Airport,-5.27861,144.54472,Simbai,PG
AYSK,SGK,Sengapi Airstrip,-5.12583,144.32361,Sengapi,PG
AYSL,SXH,Sehulea Airport,-9.96453,151.16186,Sehulea,PG
AYSM,,Samberigi Airstrip,-6.7193,143.9338,Samberigi Mission,PG
AYSO,SBC,Selbang Airport,-5.315,141.752,Selbang,PG
AYSP,SMH,Sapmanga Airport,-6.07528,146.81111,Sapmanga,PG
AYSQ,SPV,Sepik Plains Airport,-3.8821,143.6734,Sepik Plains,PG
AYSR,,Sangera Airstrip,-3.9678,143.2763,Sangera,PG
AYSS,TDS,Sasereme Airport,-7.6217,142.868,Sasereme,PG
AYST,,Sturt Island Airport,-8.1525,142.26844,,PG
AYSU,SKC,Suki Airport,-8.0466,141.7222,Suki,PG
AYSV,SXW,Sauren Airport,-5.9701,148.8543,Sauren,PG
AYSW,SWG,Satwag Airport,-6.13956,147.27917,Satwag,PG
AYSX,MBV,Masa Airport,-6.345,147.591,Masa,PG
AYSY,,Serra Airstrip,-2.9739,141.9297,Serai,PG
AYSZ,,Samanzing Airstrip,-6.4513,147.0673,Samanzing,PG
AYTA,TIZ,Tari Airport,-5.845,142.948,Tari,PG
AYTB,TBG,Tabubil Airport,-5.28047,141.22758,Tabubil,PG
AYTC,,Tapila Airstrip,-8.4188,142.9043,Mutam,PG
AYTD,,Teredau Airport,-7.3205,144.6384,Tetehui,PG
AYTE,TFM,Telefomin Airport,-5.12608,141.64192,Telefomin,PG
AYTF,TDB,Tetebedi Airport,-9.1586,148.0686,Tetebedi,PG
AYTG,TGL,Tagula Airport,-11.33111,153.20292,Sudest Island,PG
AYTH,TFB,Tifalmin Airport,-5.11725,141.41808,Tifalmin,PG
AYTI,TPI,Tapini Airport,-8.35667,146.98917,Tapini,PG
AYTK,RAB,Tokua Airport,-4.34046,152.38001,Kokopo,PG
AYTL,,Talbakul Airstrip,-6.3708,144.7167,Talbakul,PG
AYTM,,Tamo Airstrip,-4.7246,144.1529,Tamo,PG
AYTN,TKW,Tekin Airport,-5.24367,142.16519,Tekin,PG
